"Pattern","Path","Line","Text"
"CRON_SECRET","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","301","hasCronSecret: Boolean(process.env.CRON_SECRET),"
"SYNC_SECRET","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","8","const expected = process.env.SYNC_SECRET;"
"SYNC_SECRET","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","85","syncSecret: Boolean(process.env.SYNC_SECRET),"
"SYNC_SECRET","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","9","const expectedSecret = process.env.SYNC_SECRET;"
"SYNC_SECRET","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","12","const expectedSecret = process.env.SYNC_SECRET;"
"SYNC_SECRET","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","8","const expectedSecret = process.env.SYNC_SECRET;"
"SYNC_SECRET","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\health\route.ts","22","syncSecret: Boolean(process.env.SYNC_SECRET),"
"x-sync-secret","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","12","return request.headers.get(""x-sync-secret"") === expected;"
"x-sync-secret","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","10","const providedSecret = request.headers.get(""x-sync-secret"");"
"x-sync-secret","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","13","const providedSecret = request.headers.get(""x-sync-secret"");"
"x-sync-secret","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","9","const providedSecret = request.headers.get(""x-sync-secret"");"
"API_FOOTBALL","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","299","hasApiFootballKey: Boolean(process.env.API_FOOTBALL_KEY),"
"API_FOOTBALL","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","302","leagueId: process.env.API_FOOTBALL_LEAGUE_ID || ""1"","
"API_FOOTBALL","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","303","season: process.env.API_FOOTBALL_SEASON || ""2026"","
"API_FOOTBALL","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","83","apiFootballBaseUrl: Boolean(process.env.API_FOOTBALL_BASE_URL),"
"API_FOOTBALL","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","84","apiFootballKey: Boolean(process.env.API_FOOTBALL_KEY),"
"API_FOOTBALL","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\health\route.ts","16","apiFootballBaseUrl: Boolean(process.env.API_FOOTBALL_BASE_URL),"
"API_FOOTBALL","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\health\route.ts","17","apiFootballKey: Boolean(process.env.API_FOOTBALL_KEY),"
"API_FOOTBALL","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\health\route.ts","19","process.env.API_FOOTBALL_WORLD_CUP_LEAGUE_ID"
"API_FOOTBALL","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\health\route.ts","21","apiFootballSeason: Boolean(process.env.API_FOOTBALL_SEASON),"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","219","tableName: ""fixtures"","
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","254","tableName: ""fixture_events"","
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","259","tableName: ""fixture_lineups"","
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","264","tableName: ""fixture_statistics"","
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","290","[""fixtures"", ""teams"", ""standings"", ""tournament_rounds""].includes("
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","52","fixtures,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","62","countRows(""fixtures""),"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","90","fixtures,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","107","!fixtures.ok,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","2","import { getFixtures } from ""@/lib/data/worldcup"";"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","3","import { fixtureSlug, getFixtureIdFromSlug } from ""@/lib/worldcup/format"";"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","32","const fixtures = await getFixtures();"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","34","const slugRows = fixtures.map((fixture) => {"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","35","const slug = fixtureSlug({"
