"Type","Term","Path","Line","Text"
"UnsafeCopy","guarantee","C:\Users\drogh\projects\worldcup2026-hub\launch\content-publishing-checklists.md","62","- guaranteed"
"UnsafeCopy","guarantee","C:\Users\drogh\projects\worldcup2026-hub\launch\phase9-launch-qa-checklist.md","73","- [ ] No guarantee wording"
"UnsafeCopy","guarantee","C:\Users\drogh\projects\worldcup2026-hub\src\app\matches\[slug]\page.tsx","177","This section combines published fan insight with synced API context where available. It is informational only and does not guarantee any outcome."
"UnsafeCopy","guarantee","C:\Users\drogh\projects\worldcup2026-hub\src\app\predictions\page.tsx","26","meta=""No guarantees · No affiliate links · Content structure only"""
"UnsafeCopy","guarantee","C:\Users\drogh\projects\worldcup2026-hub\src\app\terms\page.tsx","30","Betting-style content is for entertainment and informational purposes only. It is not financial advice, gambling advice, or a guarantee of outcome. Odds and availability may vary by location and provider. Only participate where legal, and never risk money you cannot afford to lose."
"UnsafeCopy","guarantee","C:\Users\drogh\projects\worldcup2026-hub\src\app\terms\page.tsx","33","<h2 className=""mt-8 text-2xl font-black text-white"">No guarantees</h2>"
"UnsafeCopy","guarantee","C:\Users\drogh\projects\worldcup2026-hub\src\components\matches\api-football-prediction-card.tsx","66","API-Football prediction data is informational only and not a guarantee"
"UnsafeCopy","guarantee","C:\Users\drogh\projects\worldcup2026-hub\src\components\matches\match-prediction-placeholder.tsx","52","informational only, never as guaranteed advice. Only gamble where legal,"
"UnsafeCopy","guarantee","C:\Users\drogh\projects\worldcup2026-hub\src\lib\data\predictions.ts","58","""Betting-style content is for entertainment and informational purposes only. It is not financial advice, gambling advice, or a guarantee of outcome. Odds and availability may vary by location and provider. Only participate where legal, and never risk money you cannot afford to lose."";"
"UnsafeCopy","guaranteed","C:\Users\drogh\projects\worldcup2026-hub\launch\content-publishing-checklists.md","62","- guaranteed"
"UnsafeCopy","guaranteed","C:\Users\drogh\projects\worldcup2026-hub\src\components\matches\match-prediction-placeholder.tsx","52","informational only, never as guaranteed advice. Only gamble where legal,"
"UnsafeCopy","banker","C:\Users\drogh\projects\worldcup2026-hub\launch\content-publishing-checklists.md","59","- banker"
"UnsafeCopy","sure thing","C:\Users\drogh\projects\worldcup2026-hub\launch\content-publishing-checklists.md","61","- sure thing"
"UnsafeCopy","financial advice","C:\Users\drogh\projects\worldcup2026-hub\src\app\terms\page.tsx","30","Betting-style content is for entertainment and informational purposes only. It is not financial advice, gambling advice, or a guarantee of outcome. Odds and availability may vary by location and provider. Only participate where legal, and never risk money you cannot afford to lose."
"UnsafeCopy","financial advice","C:\Users\drogh\projects\worldcup2026-hub\src\lib\data\predictions.ts","58","""Betting-style content is for entertainment and informational purposes only. It is not financial advice, gambling advice, or a guarantee of outcome. Odds and availability may vary by location and provider. Only participate where legal, and never risk money you cannot afford to lose."";"
"UnsafeCopy","gambling advice","C:\Users\drogh\projects\worldcup2026-hub\src\app\terms\page.tsx","30","Betting-style content is for entertainment and informational purposes only. It is not financial advice, gambling advice, or a guarantee of outcome. Odds and availability may vary by location and provider. Only participate where legal, and never risk money you cannot afford to lose."
"UnsafeCopy","gambling advice","C:\Users\drogh\projects\worldcup2026-hub\src\lib\data\predictions.ts","58","""Betting-style content is for entertainment and informational purposes only. It is not financial advice, gambling advice, or a guarantee of outcome. Odds and availability may vary by location and provider. Only participate where legal, and never risk money you cannot afford to lose."";"
"UnsafeCopy","presale","C:\Users\drogh\projects\worldcup2026-hub\launch\content-publishing-checklists.md","18","- No token/presale/fundraising language"
"UnsafeCopy","presale","C:\Users\drogh\projects\worldcup2026-hub\launch\phase9-launch-qa-checklist.md","51","- [ ] Community page contains no token/presale language"
"UnsafeCopy","presale","C:\Users\drogh\projects\worldcup2026-hub\launch\phase9b-ux-lighthouse-domain-checklist.md","49","- [ ] No token/presale/fundraising language"
"UnsafeCopy","token","C:\Users\drogh\projects\worldcup2026-hub\launch\content-publishing-checklists.md","18","- No token/presale/fundraising language"
"UnsafeCopy","token","C:\Users\drogh\projects\worldcup2026-hub\launch\phase9-launch-qa-checklist.md","51","- [ ] Community page contains no token/presale language"
"UnsafeCopy","token","C:\Users\drogh\projects\worldcup2026-hub\launch\phase9-launch-qa-checklist.md","74","- [ ] No token launch content"
"UnsafeCopy","token","C:\Users\drogh\projects\worldcup2026-hub\launch\phase9b-ux-lighthouse-domain-checklist.md","49","- [ ] No token/presale/fundraising language"
