"Check","Pass","Detail"
"Sitemap includes /","True","https://www.worldcup2026coin.com/"
"Sitemap includes /fixtures","True","https://www.worldcup2026coin.com/fixtures"
"Sitemap includes /live","True","https://www.worldcup2026coin.com/live"
"Sitemap includes /groups","True","https://www.worldcup2026coin.com/groups"
"Sitemap includes /teams","True","https://www.worldcup2026coin.com/teams"
"Sitemap includes /predictions","True","https://www.worldcup2026coin.com/predictions"
"Sitemap includes /news","True","https://www.worldcup2026coin.com/news"
"Sitemap includes /top-scorers","False","https://www.worldcup2026coin.com/top-scorers"
"Sitemap includes /top-assists","False","https://www.worldcup2026coin.com/top-assists"
"Sitemap includes /top-cards","False","https://www.worldcup2026coin.com/top-cards"
"Sitemap includes /privacy","True","https://www.worldcup2026coin.com/privacy"
"Sitemap excludes /api/","True",""
"Sitemap excludes /admin","True",""
"Sitemap excludes /test","True",""
"Sitemap excludes /draft","True",""
"Sitemap excludes /debug","True",""
"Sitemap excludes /internal","True",""
"Robots references sitemap","True","Expected: Sitemap: https://www.worldcup2026coin.com/sitemap.xml"
"Robots does not block whole site","True","No blanket Disallow: /"
"Canonical present: https://www.worldcup2026coin.com/","True","https://www.worldcup2026coin.com/"
"Open Graph present: https://www.worldcup2026coin.com/","True","https://www.worldcup2026coin.com/"
"Twitter card present: https://www.worldcup2026coin.com/","True","https://www.worldcup2026coin.com/"
"No noindex: https://www.worldcup2026coin.com/","True","https://www.worldcup2026coin.com/"
"Canonical present: https://www.worldcup2026coin.com/teams/mexico-16","True","https://www.worldcup2026coin.com/teams/mexico-16"
"Open Graph present: https://www.worldcup2026coin.com/teams/mexico-16","True","https://www.worldcup2026coin.com/teams/mexico-16"
"Twitter card present: https://www.worldcup2026coin.com/teams/mexico-16","True","https://www.worldcup2026coin.com/teams/mexico-16"
"No noindex: https://www.worldcup2026coin.com/teams/mexico-16","True","https://www.worldcup2026coin.com/teams/mexico-16"
"Canonical present: https://www.worldcup2026coin.com/matches/2026-06-13-brazil-vs-morocco-1489371","True","https://www.worldcup2026coin.com/matches/2026-06-13-brazil-vs-morocco-1489371"
"Open Graph present: https://www.worldcup2026coin.com/matches/2026-06-13-brazil-vs-morocco-1489371","True","https://www.worldcup2026coin.com/matches/2026-06-13-brazil-vs-morocco-1489371"
"Twitter card present: https://www.worldcup2026coin.com/matches/2026-06-13-brazil-vs-morocco-1489371","True","https://www.worldcup2026coin.com/matches/2026-06-13-brazil-vs-morocco-1489371"
"No noindex: https://www.worldcup2026coin.com/matches/2026-06-13-brazil-vs-morocco-1489371","True","https://www.worldcup2026coin.com/matches/2026-06-13-brazil-vs-morocco-1489371"
"Canonical present: https://www.worldcup2026coin.com/top-scorers","True","https://www.worldcup2026coin.com/top-scorers"
"Open Graph present: https://www.worldcup2026coin.com/top-scorers","True","https://www.worldcup2026coin.com/top-scorers"
"Twitter card present: https://www.worldcup2026coin.com/top-scorers","True","https://www.worldcup2026coin.com/top-scorers"
"No noindex: https://www.worldcup2026coin.com/top-scorers","True","https://www.worldcup2026coin.com/top-scorers"
